,edge_type,pwi,segment 1 pwi,segment 2 pwi,segment 3 pwi,segment 4 pwi,segment 5 pwi,segment 6 pwi,segment 7 pwi,segment 8 pwi,segments,sink,sink_collection_date,sink_country,sink_host_species,sink_reassortant,sink_state,sink_subtype,source,source_collection_date,source_country,source_host_species,source_reassortant,source_state,source_subtype
10,full_complement,7.9994250000000005,1.0,1.0,1.0,0.999425,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 1.0, 3: 1.0, 4: 0.99942500000000001, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/American black duck/New Brunswick/03509/2009,2009-09-10,Canada,American Black Duck/Avian,False,New Brunswick,H3N8,A/American black duck/New Brunswick/03398/2009,2009-08-09,Canada,American Black Duck/Avian,False,New Brunswick,H3N8
11,reassortant,7.866331,,0.970639,0.990942,,,0.986043,,,"{2: 0.97063900000000003, 3: 0.99094199999999999, 6: 0.986043}",A/mallard/Mississippi/12OS443/2012,2012-01-18,USA,Mallard/Avian,True,Mississippi,H10N1,A/mallard/Ohio/11OS2224/2011,2011-08-19,USA,Mallard/Avian,False,Ohio,H1N1
12,reassortant,7.857559,,0.996978,0.997283,0.959631,0.98961,,,0.984971,"{8: 0.98497100000000004, 2: 0.99697800000000003, 3: 0.99728300000000003, 4: 0.95963100000000001, 5: 0.98960999999999999}",A/mallard/Illinois/11OS5564/2011,2011-11-12,USA,Mallard/Avian,True,Illinois,H1N8,A/mallard/Ohio/11OS2224/2011,2011-08-19,USA,Mallard/Avian,False,Ohio,H1N1
13,full_complement,7.827154999999999,0.97914,0.979275,0.967288,0.979568,0.987582,0.970813,0.97505,0.988439,"{1: 0.97914000000000001, 2: 0.97927500000000001, 3: 0.96728800000000004, 4: 0.97956799999999999, 5: 0.98758199999999996, 6: 0.97081300000000004, 7: 0.97504999999999997, 8: 0.98843899999999996}",A/mallard/Wisconsin/11OS3481/2011,2011-10-23,USA,Mallard/Avian,False,Wisconsin,H4N6,A/blue-winged teal/Wisconsin/11OS3027/2011,2011-10-02,USA,Blue-Winged Teal/Avian,False,Wisconsin,H4N6
14,full_complement,7.686927,0.960555,0.989206,0.969021,0.904678,0.923529,0.984017,0.979042,0.976879,"{1: 0.96055500000000005, 2: 0.98920600000000003, 3: 0.96902100000000002, 4: 0.90467799999999998, 5: 0.92352900000000004, 6: 0.98401700000000003, 7: 0.97904199999999997, 8: 0.97687900000000005}",A/blue-winged teal/Nova Scotia/01008/2010,2010-09-20,Canada,Blue-Winged Teal/Avian,False,Nova Scotia,H4N6,A/American black duck/New Brunswick/00986/2010,2010-09-16,Canada,American Black Duck/Avian,False,New Brunswick,H4N6
15,full_complement,7.68526,0.957954,0.989206,0.968565,0.904678,0.923529,0.985407,0.979042,0.976879,"{1: 0.95795399999999997, 2: 0.98920600000000003, 3: 0.96856500000000001, 4: 0.90467799999999998, 5: 0.92352900000000004, 6: 0.98540700000000003, 7: 0.97904199999999997, 8: 0.97687900000000005}",A/blue-winged teal/Nova Scotia/01009/2010,2010-09-20,Canada,Blue-Winged Teal/Avian,False,Nova Scotia,H4N6,A/American black duck/New Brunswick/00986/2010,2010-09-16,Canada,American Black Duck/Avian,False,New Brunswick,H4N6
16,full_complement,7.6814610000000005,0.929386,0.946976,0.951275,0.982363,0.951904,0.98395,0.959473,0.9761340000000001,"{1: 0.92938600000000005, 2: 0.94697600000000004, 3: 0.95127499999999998, 4: 0.98236299999999999, 5: 0.95190399999999997, 6: 0.98394999999999999, 7: 0.95947300000000002, 8: 0.97613400000000006}",A/mallard/Republic of Georgia/4/2012,2012-12-19,Georgia,Mallard/Avian,False,Republic of Georgia,H1N1,A/mallard/Republic of Georgia/1/2012,2012-01-10,Georgia,Mallard/Avian,False,Republic of Georgia,H1N1
17,full_complement,7.996025,1.0,0.999568,1.0,0.999418,0.999351,1.0,1.0,0.997688,"{1: 1.0, 2: 0.99956800000000001, 3: 1.0, 4: 0.99941800000000003, 5: 0.99935099999999999, 6: 1.0, 7: 1.0, 8: 0.99768800000000002}",A/northern pintail/Interior Alaska/9BM6510R0/2009,2009-08-04,USA,Northern Pintail/Avian,False,Interior Alaska,H8N4,A/American green-winged teal/Interior Alaska/9BM5045R0/2009,2009-07-29,USA,Green-Winged Teal/Avian,False,Interior Alaska,H8N4
18,full_complement,7.997846,1.0,0.999132,1.0,0.999414,1.0,0.9993,1.0,1.0,"{1: 1.0, 2: 0.99913200000000002, 3: 1.0, 4: 0.99941400000000002, 5: 1.0, 6: 0.99929999999999997, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM09818R0/2010,2010-08-07,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
19,full_complement,7.996361,1.0,0.998698,0.999535,0.998828,1.0,0.9993,1.0,1.0,"{1: 1.0, 2: 0.99869799999999997, 3: 0.99953499999999995, 4: 0.99882800000000005, 5: 1.0, 6: 0.99929999999999997, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM09563R0/2010,2010-08-07,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
20,full_complement,7.997961,0.999133,1.0,1.0,0.998828,1.0,1.0,1.0,1.0,"{1: 0.99913300000000005, 2: 1.0, 3: 1.0, 4: 0.99882800000000005, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM09481R0/2010,2010-08-06,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
21,full_complement,7.997527,0.999133,0.999566,1.0,0.998828,1.0,1.0,1.0,1.0,"{1: 0.99913300000000005, 2: 0.99956599999999995, 3: 1.0, 4: 0.99882800000000005, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM07072R0/2010,2010-08-01,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
22,full_complement,7.994803,0.996523,0.999566,1.0,0.999414,1.0,0.9993,1.0,1.0,"{1: 0.99652300000000005, 2: 0.99956599999999995, 3: 1.0, 4: 0.99941400000000002, 5: 1.0, 6: 0.99929999999999997, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM07066R0/2010,2010-08-01,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
23,full_complement,7.996627999999999,0.999133,0.999132,0.999535,0.998828,1.0,1.0,1.0,1.0,"{1: 0.99913300000000005, 2: 0.99913200000000002, 3: 0.99953499999999995, 4: 0.99882800000000005, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM10853R0/2010,2010-08-10,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
24,full_complement,7.819988,0.986563,0.981337,0.960948,0.989971,0.934288,0.994398,0.983034,0.989449,"{1: 0.98656299999999997, 2: 0.98133700000000001, 3: 0.96094800000000002, 4: 0.98997100000000005, 5: 0.93428800000000001, 6: 0.994398, 7: 0.98303399999999996, 8: 0.98944900000000002}",A/mallard/Interior Alaska/10BM07575R0/2010,2010-08-02,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
25,full_complement,7.9963820000000005,1.0,0.999132,1.0,1.0,0.999351,0.997899,1.0,1.0,"{1: 1.0, 2: 0.99913200000000002, 3: 1.0, 4: 1.0, 5: 0.99935099999999999, 6: 0.99789899999999998, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM09347R0/2010,2010-08-06,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
26,full_complement,7.996627999999999,0.999133,0.999132,0.999535,0.998828,1.0,1.0,1.0,1.0,"{1: 0.99913300000000005, 2: 0.99913200000000002, 3: 0.99953499999999995, 4: 0.99882800000000005, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM10829R0/2010,2010-08-10,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
27,full_complement,7.996627999999999,0.999133,0.999132,0.999535,0.998828,1.0,1.0,1.0,1.0,"{1: 0.99913300000000005, 2: 0.99913200000000002, 3: 0.99953499999999995, 4: 0.99882800000000005, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM10859R0/2010,2010-08-10,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
28,full_complement,7.997246,0.9987,0.999132,1.0,0.999414,1.0,1.0,1.0,1.0,"{1: 0.99870000000000003, 2: 0.99913200000000002, 3: 1.0, 4: 0.99941400000000002, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM08400R0/2010,2010-08-04,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
29,full_complement,7.996627999999999,0.999133,0.999132,0.999535,0.998828,1.0,1.0,1.0,1.0,"{1: 0.99913300000000005, 2: 0.99913200000000002, 3: 0.99953499999999995, 4: 0.99882800000000005, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM10861R0/2010,2010-08-10,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
30,full_complement,7.9943729999999995,0.998266,0.999566,0.999535,0.997655,0.999351,1.0,1.0,1.0,"{1: 0.99826599999999999, 2: 0.99956599999999995, 3: 0.99953499999999995, 4: 0.99765499999999996, 5: 0.99935099999999999, 6: 1.0, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM06303R0/2010,2010-07-29,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
31,full_complement,7.9954719999999995,0.999133,0.999132,0.999535,0.998828,1.0,1.0,1.0,0.998844,"{1: 0.99913300000000005, 2: 0.99913200000000002, 3: 0.99953499999999995, 4: 0.99882800000000005, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99884399999999995}",A/northern pintail/Interior Alaska/10BM10790R0/2010,2010-08-10,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
32,full_complement,7.99703,0.999133,0.999132,1.0,0.999414,0.999351,1.0,1.0,1.0,"{1: 0.99913300000000005, 2: 0.99913200000000002, 3: 1.0, 4: 0.99941400000000002, 5: 0.99935099999999999, 6: 1.0, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM11208R0/2010,2010-08-11,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
33,full_complement,7.996627999999999,0.999133,0.999132,0.999535,0.998828,1.0,1.0,1.0,1.0,"{1: 0.99913300000000005, 2: 0.99913200000000002, 3: 0.99953499999999995, 4: 0.99882800000000005, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/mallard/Interior Alaska/10BM10876R0/2010,2010-08-10,USA,Mallard/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
34,full_complement,7.995546,0.998266,0.999566,0.999535,0.998828,0.999351,1.0,1.0,1.0,"{1: 0.99826599999999999, 2: 0.99956599999999995, 3: 0.99953499999999995, 4: 0.99882800000000005, 5: 0.99935099999999999, 6: 1.0, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM06306R0/2010,2010-07-29,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
35,full_complement,7.9963820000000005,1.0,0.999132,1.0,1.0,0.999351,0.997899,1.0,1.0,"{1: 1.0, 2: 0.99913200000000002, 3: 1.0, 4: 1.0, 5: 0.99935099999999999, 6: 0.99789899999999998, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM09348R0/2010,2010-08-06,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
36,full_complement,7.997999,0.999567,0.999132,1.0,1.0,1.0,0.9993,1.0,1.0,"{1: 0.99956699999999998, 2: 0.99913200000000002, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.99929999999999997, 7: 1.0, 8: 1.0}",A/northern pintail/Interior Alaska/10BM08586R0/2010,2010-08-04,USA,Northern Pintail/Avian,False,Interior Alaska,H7N3,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,H7N3
37,reassortant,7.864846,,,,0.99351,0.973802,0.987943,0.997079,,"{4: 0.99351, 5: 0.97380199999999995, 6: 0.98794300000000002, 7: 0.99707900000000005}",A/duck/Japan/11OG1083/2011,2011-10-14,,Duck/Avian,True,Japan,H5N2,A/duck/Japan/11UO0008/2011,2011-10-03,,Duck/Avian,True,Japan,H5N2
38,reassortant,7.858141,,,,0.987611,0.973802,0.987234,0.996105,,"{4: 0.98761100000000002, 5: 0.97380199999999995, 6: 0.98723399999999994, 7: 0.99610500000000002}",A/duck/Japan/11OG1038/2011,2011-10-14,,Duck/Avian,True,Japan,H5N2,A/duck/Japan/11UO0008/2011,2011-10-03,,Duck/Avian,True,Japan,H5N2
39,reassortant,7.864158999999999,,,,0.99292,0.973802,0.987943,0.996105,,"{4: 0.99292000000000002, 5: 0.97380199999999995, 6: 0.98794300000000002, 7: 0.99610500000000002}",A/duck/Japan/11OG1084/2011,2011-10-14,,Duck/Avian,True,Japan,H5N2,A/duck/Japan/11UO0008/2011,2011-10-03,,Duck/Avian,True,Japan,H5N2
40,reassortant,7.865339,,,,0.9941,0.973802,0.987943,0.996105,,"{4: 0.99409999999999998, 5: 0.97380199999999995, 6: 0.98794300000000002, 7: 0.99610500000000002}",A/duck/Japan/11OG1032/2011,2011-10-14,,Duck/Avian,True,Japan,H5N2,A/duck/Japan/11UO0008/2011,2011-10-03,,Duck/Avian,True,Japan,H5N2
41,full_complement,7.992305,0.999568,1.0,0.995375,0.99942,0.999349,0.998593,1.0,1.0,"{1: 0.99956800000000001, 2: 1.0, 3: 0.99537500000000001, 4: 0.99941999999999998, 5: 0.99934900000000004, 6: 0.99859299999999995, 7: 1.0, 8: 1.0}",A/mallard/California/3083/2012,2012-07-31,USA,Mallard/Avian,False,California,H3N8,A/mallard/California/2923/2012,2012-07-23,USA,Mallard/Avian,False,California,H3N8
42,full_complement,7.728076,0.919188,0.965458,0.987037,0.965416,0.973203,0.960223,0.976048,0.981503,"{1: 0.91918800000000001, 2: 0.96545800000000004, 3: 0.98703700000000005, 4: 0.96541600000000005, 5: 0.97320300000000004, 6: 0.96022300000000005, 7: 0.97604800000000003, 8: 0.98150300000000001}",A/American black duck/New Brunswick/00344/2010,2010-08-08,Canada,American Black Duck/Avian,False,New Brunswick,H7N7,A/gadwall/Arizona/A00663934/2009,2009-01-03,USA,Gadwall/Avian,True,Arizona,H7N7
43,full_complement,7.728562,0.918755,0.965026,0.987037,0.965416,0.973856,0.960921,0.976048,0.981503,"{1: 0.91875499999999999, 2: 0.96502600000000005, 3: 0.98703700000000005, 4: 0.96541600000000005, 5: 0.97385600000000005, 6: 0.96092100000000003, 7: 0.97604800000000003, 8: 0.98150300000000001}",A/mallard/Nova Scotia/00372/2010,2010-08-08,Canada,Mallard/Avian,False,Nova Scotia,H7N7,A/gadwall/Arizona/A00663934/2009,2009-01-03,USA,Gadwall/Avian,True,Arizona,H7N7
44,reassortant,7.959602,0.990061,,0.992593,,,0.996537,0.989289,,"{1: 0.99006099999999997, 3: 0.99259299999999995, 6: 0.99653700000000001, 7: 0.98928899999999997}",A/American green winged teal/Utah/A00468772/2009,2009-01-16,USA,Green-Winged Teal/Avian,True,Utah,H7N7,A/gadwall/Arizona/A00663934/2009,2009-01-03,USA,Gadwall/Avian,True,Arizona,H7N7
45,full_complement,7.689145999999999,0.954368,0.962305,0.930032,0.953608,0.978571,0.941877,0.986882,0.981503,"{1: 0.95436799999999999, 2: 0.96230499999999997, 3: 0.93003199999999997, 4: 0.95360800000000001, 5: 0.97857099999999997, 6: 0.94187699999999996, 7: 0.98688200000000004, 8: 0.98150300000000001}",A/mallard/Wisconsin/11OS4493/2011,2011-11-20,USA,Mallard/Avian,False,Wisconsin,H1N3,A/northern shoveler/Mississippi/397/2010,2010-01-17,USA,Northern Shoveler/Avian,True,Mississippi,H1N3
46,full_complement,7.59865,0.928045,0.948873,0.932303,0.946101,0.942208,0.944678,0.965691,0.990751,"{1: 0.92804500000000001, 2: 0.94887299999999997, 3: 0.93230299999999999, 4: 0.94610099999999997, 5: 0.94220800000000005, 6: 0.94467800000000002, 7: 0.96569099999999997, 8: 0.99075100000000005}",A/ring-billed gull/Quebec/G068/2010,2010-05-12,Canada,Ring-Billed Gull/Avian,False,Quebec,H1N3,A/northern shoveler/Mississippi/397/2010,2010-01-17,USA,Northern Shoveler/Avian,True,Mississippi,H1N3
47,full_complement,7.602194000000002,0.928045,0.949307,0.932303,0.946101,0.942208,0.946779,0.9667,0.990751,"{1: 0.92804500000000001, 2: 0.94930700000000001, 3: 0.93230299999999999, 4: 0.94610099999999997, 5: 0.94220800000000005, 6: 0.94677900000000004, 7: 0.9667, 8: 0.99075100000000005}",A/ring-billed gull/Quebec/G018/2010,2010-05-12,Canada,Ring-Billed Gull/Avian,False,Quebec,H1N3,A/northern shoveler/Mississippi/397/2010,2010-01-17,USA,Northern Shoveler/Avian,True,Mississippi,H1N3
48,full_complement,7.600227,0.928325,0.949307,0.931395,0.946163,0.942208,0.945378,0.9667,0.990751,"{1: 0.92832499999999996, 2: 0.94930700000000001, 3: 0.93139499999999997, 4: 0.94616299999999998, 5: 0.94220800000000005, 6: 0.94537800000000005, 7: 0.9667, 8: 0.99075100000000005}",A/ring-billed gull/Quebec/G066/2010,2010-05-12,Canada,Ring-Billed Gull/Avian,False,Quebec,H1N3,A/northern shoveler/Mississippi/397/2010,2010-01-17,USA,Northern Shoveler/Avian,True,Mississippi,H1N3
49,reassortant,7.897265999999999,,,0.969105,0.981683,,,0.991018,,"{3: 0.96910499999999999, 4: 0.98168299999999997, 7: 0.99101799999999995}",A/mallard/Interior Alaska/11BM02987/2011,2011-08-14,USA,Mallard/Avian,True,Interior Alaska,H2N6,A/mallard/Alberta/289/2009,2009-08-20,Canada,Mallard/Avian,True,Alberta,H2N9
50,reassortant,7.820753,,0.98743,,0.987407,0.976578,,,0.979191,"{8: 0.97919100000000003, 2: 0.98743000000000003, 4: 0.98740700000000003, 5: 0.97657799999999995}",A/mallard/Alberta/319/2009,2009-08-22,Canada,Mallard/Avian,True,Alberta,H2N3,A/mallard/Alberta/289/2009,2009-08-20,Canada,Mallard/Avian,True,Alberta,H2N9
51,full_complement,7.717283,0.993065,0.983161,0.951993,0.855172,0.984977,0.972612,0.978615,0.997688,"{1: 0.99306499999999998, 2: 0.98316099999999995, 3: 0.95199299999999998, 4: 0.85517200000000004, 5: 0.98497699999999999, 6: 0.97261200000000003, 7: 0.97861500000000001, 8: 0.99768800000000002}",A/blue-winged teal/Nova Scotia/01002/2010,2010-09-20,Canada,Blue-Winged Teal/Avian,False,Nova Scotia,H3N8,A/green-winged teal/New Brunswick/00335/2010,2010-08-08,Canada,Green-Winged Teal/Avian,False,New Brunswick,H3N8
52,reassortant,7.984586999999999,,,0.997736,0.999425,0.998694,,,0.997688,"{8: 0.99768800000000002, 3: 0.99773599999999996, 4: 0.99942500000000001, 5: 0.99869399999999997}",A/blue-winged teal/New Brunswick/00597/2010,2010-08-15,Canada,Blue-Winged Teal/Avian,True,New Brunswick,H3N7,A/green-winged teal/New Brunswick/00335/2010,2010-08-08,Canada,Green-Winged Teal/Avian,False,New Brunswick,H3N8
53,reassortant,7.9874670000000005,0.999133,,0.997736,0.998276,0.998694,,,,"{1: 0.99913300000000005, 3: 0.99773599999999996, 4: 0.99827600000000005, 5: 0.99869399999999997}",A/mallard/New Brunswick/00593/2010,2010-08-15,Canada,Mallard/Avian,True,New Brunswick,H3N7,A/green-winged teal/New Brunswick/00335/2010,2010-08-08,Canada,Green-Winged Teal/Avian,False,New Brunswick,H3N8
54,reassortant,7.986689999999999,0.999133,,0.997736,0.998851,0.99804,,,0.998844,"{8: 0.99884399999999995, 1: 0.99913300000000005, 3: 0.99773599999999996, 4: 0.99885100000000004, 5: 0.99804000000000004}",A/blue-winged teal/New Brunswick/00600/2010,2010-08-15,Canada,Blue-Winged Teal/Avian,True,New Brunswick,H3N7,A/green-winged teal/New Brunswick/00335/2010,2010-08-08,Canada,Green-Winged Teal/Avian,False,New Brunswick,H3N8
55,full_complement,7.965047,0.998266,0.996114,0.981431,0.997681,0.998694,0.997169,0.998004,0.997688,"{1: 0.99826599999999999, 2: 0.99611400000000005, 3: 0.98143100000000005, 4: 0.99768100000000004, 5: 0.99869399999999997, 6: 0.99716899999999997, 7: 0.998004, 8: 0.99768800000000002}",A/mallard/Nova Scotia/01016/2010,2010-09-20,Canada,Mallard/Avian,False,Nova Scotia,H3N8,A/green-winged teal/New Brunswick/00335/2010,2010-08-08,Canada,Green-Winged Teal/Avian,False,New Brunswick,H3N8
